;Dx;SNOMED CT Code;Abbreviation;CPSC;CPSC-Extra;StPetersburg;PTB;PTB-XL;Georgia;Total;Notes;ECGnet_label_1;ECGnet_label_2;Training Code
0;1st degree av block;270492004;IAVB;722;106;0;0;797;769;2394;;conduction.av1;;270492004
1;atrial fibrillation;164889003;AF;1221;153;2;15;1514;570;3475;;rhythm.af;rhythm.affast;164889003
2;atrial flutter;164890007;AFL;0;54;0;1;73;186;314;;rhythm.afl;;164890007
3;bradycardia;426627000;Brady;0;271;11;0;0;6;288;;rhythm.sb;rhythm.sbext;426627000
4;complete right bundle branch block;713427006;CRBBB;0;113;0;0;542;28;683;We score 713427006 and 59118001 as the same diagnosis.;conduction.rbtb;;713427006
5;incomplete right bundle branch block;713426002;IRBBB;0;86;0;0;1118;407;1611;;conduction.rbtb;;713426002
6;left anterior fascicular block;445118002;LAnFB;0;0;0;0;1626;180;1806;;conduction.laf;;445118002
7;left axis deviation;39732003;LAD;0;0;0;0;5146;940;6086;;axis.left;;39732003
8;left bundle branch block;164909002;LBBB;236;38;0;0;536;231;1041;;conduction.lbtb;;164909002
9;low qrs voltages;251146004;LQRSV;0;0;0;0;182;374;556;;other.microvol;;251146004
10;nonspecific intraventricular conduction disorder;698252002;NSIVCB;0;4;1;0;789;203;997;;conduction.ivc;;698252002
11;pacing rhythm;10370003;PR;0;3;0;0;296;0;299;;rhythm.paced;;10370003
12;premature atrial contraction;284470004;PAC;616;73;3;0;398;639;1729;We score 284470004 and 63593006 as the same diagnosis.;rhythm.pac;;284470004
13;premature ventricular contractions;427172004;PVC;0;188;0;0;0;0;188;We score 427172004 and 17338001 as the same diagnosis.;rhythm.pvc;;427172004
14;prolonged pr interval;164947007;LPR;0;0;0;0;340;0;340;;conduction.av1;;164947007
15;prolonged qt interval;111975006;LQT;0;4;0;0;118;1391;1513;;other.lqt;;111975006
16;qwave abnormal;164917005;QAb;0;1;0;0;548;464;1013;;oldischemia;;164917005
17;right axis deviation;47665007;RAD;0;1;0;0;343;83;427;;axis.right;;47665007
18;right bundle branch block;59118001;RBBB;1857;1;2;0;0;542;2402;We score 713427006 and 59118001 as the same diagnosis.;conduction.rbtb;;713427006
19;sinus arrhythmia;427393009;SA;0;11;2;0;772;455;1240;;rhythm.sa;;427393009
20;sinus bradycardia;426177001;SB;0;45;0;0;637;1677;2359;;rhythm.sb;;426177001
21;sinus rhythm;426783006;NSR;918;4;0;80;18092;1752;20846;;rhythm.sr;;426783006
22;sinus tachycardia;427084000;STach;0;303;11;1;826;1261;2402;;rhythm.st;;427084000
23;supraventricular premature beats;63593006;SVPB;0;53;4;0;157;1;215;We score 284470004 and 63593006 as the same diagnosis.;rhythm.pac;;284470004
24;t wave abnormal;164934002;TAb;0;22;0;0;2345;2306;4673;;other.stt;;164934002
25;t wave inversion;59931005;TInv;0;5;1;0;294;812;1112;;other.neg_t;;59931005
26;ventricular premature beats;17338001;VPB;0;8;0;0;0;357;365;We score 427172004 and 17338001 as the same diagnosis.;rhythm.pvc;;427172004
